age,annual_income,credit_score,employment_years,num_late_payments,utilization_rate,num_credit_lines,loan_amount,loan_term_months,debt_to_income,home_ownership,loan_purpose,default
25,23349.62,630,0.1,3,0.3779,2,4828.39,48,0.0517,MORTGAGE,DEBT_CONSOLIDATION,0
55,105370.6,641,13.1,2,0.4303,9,30705.7,48,0.0729,OWN,DEBT_CONSOLIDATION,0
50,108159.52,570,4.1,2,0.1463,1,44568.45,36,0.1374,RENT,DEBT_CONSOLIDATION,1
40,47231.51,677,2.7,1,0.1122,17,13405.98,60,0.0568,RENT,MEDICAL,1
40,77702.13,658,3.3,3,0.273,14,11592.22,36,0.0497,OWN,DEBT_CONSOLIDATION,0
58,53715.16,825,3.3,3,0.3911,4,3438.76,84,0.0091,MORTGAGE,HOME_IMPROVEMENT,0
25,67572.35,748,1.8,0,0.3107,12,19642.44,48,0.0727,RENT,DEBT_CONSOLIDATION,0
51,33737.67,638,15.5,2,0.2967,2,48911.53,72,0.2416,RENT,HOME_IMPROVEMENT,0
30,81735.71,546,9.6,0,0.0905,9,7993.15,12,0.0978,MORTGAGE,DEBT_CONSOLIDATION,0
26,26354.84,497,2.3,3,0.0079,2,3371.83,72,0.0213,RENT,BUSINESS,0
44,23981.43,597,0.2,3,0.2099,1,31160.37,24,0.6497,OWN,DEBT_CONSOLIDATION,1
63,56333.0,573,9.8,0,0.4637,9,10275.97,24,0.0912,MORTGAGE,MEDICAL,0
53,53872.66,707,1.8,2,0.1852,12,4911.47,36,0.0304,MORTGAGE,DEBT_CONSOLIDATION,1
54,68607.07,668,1.4,2,0.1884,11,23953.86,36,0.1164,MORTGAGE,HOME_IMPROVEMENT,1
52,43271.36,681,7.2,0,0.1669,8,17684.16,60,0.0817,RENT,HOME_IMPROVEMENT,0
55,153713.51,604,4.0,1,0.112,12,18859.89,48,0.0307,RENT,MEDICAL,1
44,64880.51,692,7.8,2,0.3832,3,17295.05,84,0.0381,OWN,HOME_IMPROVEMENT,0
27,67268.07,566,11.2,3,0.0868,6,7501.79,36,0.0372,MORTGAGE,MEDICAL,1
58,66079.7,672,2.7,2,0.1706,1,14610.73,72,0.0369,OWN,DEBT_CONSOLIDATION,0
41,98859.5,746,1.4,0,0.7232,6,8263.61,72,0.0139,MORTGAGE,DEBT_CONSOLIDATION,0
43,79858.27,650,4.1,3,0.0721,7,13662.68,12,0.1711,OWN,HOME_IMPROVEMENT,0
37,74683.09,715,0.3,1,0.4488,15,60000.0,48,0.2008,RENT,HOME_IMPROVEMENT,0
29,86507.99,521,6.3,1,0.282,10,7188.76,12,0.0831,MORTGAGE,BUSINESS,1
61,24045.25,515,26.7,1,0.1711,6,6940.9,72,0.0481,RENT,EDUCATION,0
55,24503.62,706,1.9,1,0.4172,3,16822.9,72,0.1144,RENT,BUSINESS,0
49,57639.92,763,10.5,0,0.0645,11,8060.58,36,0.0466,MORTGAGE,MEDICAL,0
39,54239.41,660,1.6,1,0.3021,2,12873.2,24,0.1187,RENT,HOME_IMPROVEMENT,0
57,80009.84,850,4.6,0,0.3895,3,21238.27,12,0.2654,MORTGAGE,HOME_IMPROVEMENT,0
45,60476.4,564,3.4,2,0.4712,17,38095.91,12,0.6299,RENT,MEDICAL,1
41,80092.1,625,1.8,1,0.2865,6,10242.61,36,0.0426,MORTGAGE,HOME_IMPROVEMENT,0
41,32118.98,691,3.6,1,0.1976,12,29465.95,84,0.1311,RENT,MEDICAL,0
31,59553.34,717,2.6,1,0.0845,1,40575.79,72,0.1136,MORTGAGE,DEBT_CONSOLIDATION,0
25,30621.93,633,7.6,5,0.0394,11,14034.62,72,0.0764,MORTGAGE,BUSINESS,1
45,72651.47,595,7.7,0,0.123,10,6790.99,72,0.0156,RENT,MEDICAL,0
60,23408.57,729,5.1,0,0.299,7,9080.35,60,0.0776,MORTGAGE,DEBT_CONSOLIDATION,0
24,71264.6,690,5.1,2,0.2441,3,13087.64,12,0.1836,RENT,DEBT_CONSOLIDATION,1
58,28724.35,652,1.3,0,0.1296,17,29092.1,72,0.1688,MORTGAGE,DEBT_CONSOLIDATION,0
57,49426.21,719,1.7,0,0.3571,8,17172.79,36,0.1158,MORTGAGE,BUSINESS,0
33,93663.5,669,0.1,1,0.369,9,4878.43,12,0.0521,OWN,EDUCATION,0
49,67083.27,668,2.1,4,0.3757,14,53451.23,48,0.1992,MORTGAGE,DEBT_CONSOLIDATION,1
29,26295.94,665,3.8,0,0.1833,14,10653.11,36,0.135,RENT,DEBT_CONSOLIDATION,0
54,42779.02,614,6.8,3,0.1918,17,13836.11,60,0.0647,OWN,MEDICAL,0
52,28263.05,606,1.2,1,0.0441,1,18371.0,48,0.1625,MORTGAGE,DEBT_CONSOLIDATION,0
37,25658.26,637,3.9,1,0.0954,13,12561.27,24,0.2448,RENT,DEBT_CONSOLIDATION,1
24,63502.31,682,1.4,0,0.0143,4,14898.62,48,0.0587,RENT,DEBT_CONSOLIDATION,1
63,79233.08,530,2.1,0,0.5052,6,15017.16,84,0.0271,MORTGAGE,DEBT_CONSOLIDATION,1
41,74630.38,755,7.3,3,0.2326,16,21008.03,12,0.2815,MORTGAGE,DEBT_CONSOLIDATION,0
60,80927.86,681,1.1,1,0.6586,2,12433.73,24,0.0768,MORTGAGE,DEBT_CONSOLIDATION,0
51,59518.63,594,16.8,1,0.2965,8,12612.2,72,0.0353,OWN,HOME_IMPROVEMENT,1
55,52224.39,809,4.6,2,0.5069,13,10424.8,36,0.0665,OWN,MEDICAL,0
54,35012.67,683,5.7,0,0.5767,17,19255.61,48,0.1375,RENT,HOME_IMPROVEMENT,1
30,48048.21,573,3.7,0,0.2853,10,25470.23,60,0.106,RENT,BUSINESS,0
37,30925.17,805,0.4,0,0.0288,11,16452.31,24,0.266,MORTGAGE,HOME_IMPROVEMENT,0
42,39238.64,788,0.9,2,0.3328,7,22189.74,60,0.1131,MORTGAGE,DEBT_CONSOLIDATION,0
43,62596.42,607,10.7,0,0.1832,5,8836.05,72,0.0235,RENT,HOME_IMPROVEMENT,0
23,56449.23,654,0.4,0,0.2749,1,29885.47,60,0.1059,OWN,BUSINESS,0
45,277163.82,643,1.0,1,0.1876,10,5249.44,36,0.0063,RENT,EDUCATION,0
28,30549.46,528,0.4,1,0.2855,9,15319.61,12,0.5015,RENT,BUSINESS,1
53,56243.77,705,3.7,0,0.1121,6,13464.62,12,0.2394,RENT,DEBT_CONSOLIDATION,0
51,29381.89,747,1.5,1,0.5628,7,29145.65,84,0.1417,RENT,DEBT_CONSOLIDATION,1
61,49321.09,732,1.4,1,0.3646,10,15068.83,48,0.0764,RENT,DEBT_CONSOLIDATION,0
54,50334.87,682,0.6,1,0.3331,3,13065.83,84,0.0371,MORTGAGE,EDUCATION,0
37,91348.76,755,5.8,2,0.1314,2,14215.57,12,0.1556,OWN,BUSINESS,0
63,47818.45,589,0.2,0,0.2341,8,18753.31,24,0.1961,RENT,HOME_IMPROVEMENT,0
39,54412.01,825,1.1,1,0.165,11,15156.68,84,0.0398,MORTGAGE,DEBT_CONSOLIDATION,0
36,48283.3,618,0.1,0,0.4033,1,5469.33,60,0.0227,OWN,HOME_IMPROVEMENT,0
60,29716.99,627,9.0,0,0.5714,3,9016.54,36,0.1011,RENT,EDUCATION,0
37,43215.25,633,3.9,1,0.3857,3,26609.59,36,0.2052,RENT,DEBT_CONSOLIDATION,0
25,49465.54,628,10.2,1,0.0961,13,19860.89,84,0.0574,RENT,EDUCATION,0
42,62125.57,664,4.4,1,0.096,5,12173.07,60,0.0392,MORTGAGE,HOME_IMPROVEMENT,0
56,79179.57,661,6.7,2,0.1692,17,15296.96,24,0.0966,MORTGAGE,DEBT_CONSOLIDATION,0
30,53247.27,690,20.8,2,0.22,5,3145.92,24,0.0295,MORTGAGE,MEDICAL,0
41,52781.28,614,21.2,3,0.2152,9,19904.99,12,0.3771,MORTGAGE,EDUCATION,1
27,25326.17,693,11.4,1,0.128,1,24852.03,84,0.1402,RENT,DEBT_CONSOLIDATION,0
51,78422.59,592,0.6,0,0.1385,8,24967.12,12,0.3184,RENT,EDUCATION,0
42,42279.22,738,5.1,1,0.2764,9,37962.81,36,0.2993,RENT,EDUCATION,1
36,86991.15,737,15.6,0,0.2923,15,50898.26,12,0.5851,MORTGAGE,HOME_IMPROVEMENT,0
31,115638.01,679,1.8,2,0.3811,14,7076.92,72,0.0102,RENT,MEDICAL,0
46,54504.71,628,0.7,0,0.4686,8,47399.36,48,0.2174,RENT,BUSINESS,0
50,35894.68,704,1.7,1,0.1587,2,16989.97,12,0.4733,MORTGAGE,HOME_IMPROVEMENT,0
62,59376.32,608,0.0,1,0.1363,3,10928.59,72,0.0307,RENT,HOME_IMPROVEMENT,0
40,71278.57,682,2.0,0,0.069,1,47423.95,84,0.095,MORTGAGE,EDUCATION,0
28,51135.79,667,2.2,2,0.0844,17,60000.0,60,0.2347,MORTGAGE,DEBT_CONSOLIDATION,0
57,45160.62,850,15.4,1,0.3202,5,36422.79,84,0.1152,OWN,DEBT_CONSOLIDATION,0
49,79361.3,581,3.1,1,0.0898,14,14692.76,36,0.0617,OWN,EDUCATION,0
52,76786.89,466,20.5,1,0.3753,14,11721.06,72,0.0254,MORTGAGE,DEBT_CONSOLIDATION,0
26,50355.1,628,4.0,1,0.4553,14,11109.23,36,0.0735,MORTGAGE,DEBT_CONSOLIDATION,0
35,26185.65,542,0.6,0,0.3014,5,29933.33,60,0.2286,OWN,DEBT_CONSOLIDATION,0
55,75221.25,621,0.3,0,0.1629,7,10785.13,24,0.0717,OWN,DEBT_CONSOLIDATION,0
57,40795.88,576,2.5,0,0.3138,10,29874.54,12,0.7323,MORTGAGE,DEBT_CONSOLIDATION,0
40,66647.35,607,7.2,3,0.3768,3,18355.44,60,0.0551,MORTGAGE,MEDICAL,1
56,64574.74,594,1.1,1,0.2542,1,12828.21,36,0.0662,RENT,DEBT_CONSOLIDATION,0
58,23284.11,757,5.5,2,0.1628,11,17009.02,60,0.1461,RENT,DEBT_CONSOLIDATION,0
38,62351.36,676,19.6,0,0.2139,4,20112.24,48,0.0806,MORTGAGE,DEBT_CONSOLIDATION,0
60,77440.58,766,12.9,3,0.3514,6,15534.81,48,0.0502,OWN,HOME_IMPROVEMENT,0
34,82337.03,683,6.5,1,0.4799,8,25175.52,24,0.1529,MORTGAGE,MEDICAL,0
32,63492.87,754,0.7,3,0.6173,13,24713.02,60,0.0778,OWN,DEBT_CONSOLIDATION,0
51,22279.16,655,0.3,1,0.2251,9,29110.81,12,1.0,MORTGAGE,MEDICAL,1
49,113384.56,807,0.8,0,0.1024,17,14358.51,84,0.0181,RENT,MEDICAL,0
28,73534.6,717,2.1,0,0.2509,10,8565.15,60,0.0233,MORTGAGE,DEBT_CONSOLIDATION,0
57,32805.13,617,4.9,2,0.3003,8,56375.95,60,0.3437,MORTGAGE,EDUCATION,1
30,40381.15,729,2.9,0,0.0896,10,6654.0,12,0.1648,RENT,MEDICAL,0
56,67212.34,682,4.0,0,0.2819,16,22051.43,24,0.164,MORTGAGE,DEBT_CONSOLIDATION,0
22,84110.95,663,3.7,1,0.364,8,16009.8,48,0.0476,RENT,EDUCATION,0
56,46911.52,687,5.8,2,0.5833,5,13063.67,36,0.0928,OWN,MEDICAL,0
55,90469.02,740,2.8,1,0.2386,17,31531.36,84,0.0498,RENT,DEBT_CONSOLIDATION,0
55,24431.21,510,1.9,1,0.3753,7,17295.23,48,0.177,RENT,DEBT_CONSOLIDATION,0
50,35552.67,651,18.7,0,0.3823,16,10196.97,36,0.0956,MORTGAGE,HOME_IMPROVEMENT,0
42,21328.89,734,1.7,2,0.0842,9,6253.85,72,0.0489,OWN,DEBT_CONSOLIDATION,0
52,38227.0,699,1.2,0,0.4629,17,24820.35,24,0.3246,OWN,DEBT_CONSOLIDATION,1
33,127266.5,589,4.4,1,0.0662,13,8884.63,12,0.0698,RENT,HOME_IMPROVEMENT,1
55,167527.22,490,0.0,2,0.077,10,21174.47,12,0.1264,OWN,EDUCATION,0
45,67325.56,816,1.2,2,0.3284,5,10722.76,24,0.0796,MORTGAGE,MEDICAL,0
41,43511.71,665,1.0,0,0.5988,8,9813.99,60,0.0451,MORTGAGE,DEBT_CONSOLIDATION,1
43,53593.34,801,4.9,1,0.1325,14,21421.67,36,0.1332,MORTGAGE,BUSINESS,0
46,75861.91,743,0.1,2,0.2184,17,10468.91,84,0.0197,MORTGAGE,MEDICAL,0
23,27405.79,616,0.5,2,0.4434,12,20576.64,36,0.2503,OWN,EDUCATION,1
28,44969.98,479,2.7,1,0.2835,13,16455.96,60,0.0732,MORTGAGE,MEDICAL,1
32,122693.73,643,1.3,0,0.4758,13,23090.36,60,0.0376,RENT,DEBT_CONSOLIDATION,1
26,35494.92,677,2.1,1,0.0818,13,6128.14,24,0.0863,OWN,DEBT_CONSOLIDATION,0
40,41170.92,716,2.5,1,0.044,9,8374.95,60,0.0407,OWN,MEDICAL,1
50,60270.43,591,0.7,1,0.0679,16,21600.28,72,0.0597,RENT,DEBT_CONSOLIDATION,0
50,68979.95,694,1.7,2,0.3152,1,8849.41,36,0.0428,OWN,DEBT_CONSOLIDATION,0
42,43804.77,694,3.3,0,0.2039,16,18989.22,48,0.1084,RENT,DEBT_CONSOLIDATION,0
58,62223.14,758,1.2,1,0.7507,17,17388.29,72,0.0466,MORTGAGE,DEBT_CONSOLIDATION,1
46,81143.12,655,12.0,1,0.1358,1,17832.44,60,0.044,RENT,MEDICAL,0
25,159647.88,715,0.5,2,0.0751,12,12556.23,36,0.0262,MORTGAGE,EDUCATION,0
54,56211.57,703,5.4,0,0.2302,16,10982.33,84,0.0279,RENT,HOME_IMPROVEMENT,0
46,58650.5,750,7.7,0,0.4924,17,36159.29,36,0.2055,MORTGAGE,MEDICAL,0
49,128505.4,614,0.0,3,0.269,13,4495.06,60,0.007,MORTGAGE,DEBT_CONSOLIDATION,1
46,45497.7,434,2.6,2,0.3779,14,6700.03,60,0.0295,MORTGAGE,DEBT_CONSOLIDATION,1
45,30878.75,661,2.4,0,0.0265,10,27119.23,60,0.1756,MORTGAGE,HOME_IMPROVEMENT,0
25,67854.74,661,1.9,0,0.2884,6,11292.2,84,0.0238,OWN,DEBT_CONSOLIDATION,0
46,102548.13,587,9.8,3,0.207,9,17140.61,72,0.0279,MORTGAGE,MEDICAL,1
